DATE,OPEN,HIGH,CLOSE,LOW,VOL,AMOUNT,FACTOR
2008-05-08,22.5,26.0,22.5,23.24,13157500.0,314833039.0,1.0
2008-05-09,21.89,22.9,21.03,21.15,6637164.0,145558208.0,1.0
2008-05-12,20.42,20.73,19.78,20.3,4287340.0,86469647.0,1.0
2008-05-13,19.51,20.5,19.51,20.35,2528812.0,50761197.0,1.0
2008-05-14,20.49,20.59,20.12,20.42,2428931.0,49372135.0,1.0
2008-05-15,20.45,20.57,20.03,20.16,2069279.0,42081236.0,1.0
2008-05-16,20.08,20.17,18.89,18.97,2348176.0,45837606.0,1.0
2008-05-19,18.95,19.28,18.75,19.17,1036687.0,19733735.0,1.0
2008-05-20,19.14,19.19,17.71,17.78,1817165.0,33581525.0,1.0
2008-05-21,17.53,18.13,17.19,17.88,1612650.0,28229090.0,1.0
2008-05-22,17.55,17.96,17.36,17.55,895373.0,15784251.0,1.0
2008-05-23,17.55,19.0,17.4,18.3,1770544.0,32142695.0,1.0
2008-05-26,18.08,18.08,17.37,17.38,845931.0,14878827.0,1.0
2008-05-27,17.38,17.63,17.24,17.49,473684.0,8256363.0,1.0
2008-05-28,17.58,17.94,17.39,17.86,716921.0,12703121.0,1.0
2008-05-30,17.54,18.41,17.27,18.2,1434012.0,25560184.0,1.0
2008-06-02,18.0,18.43,17.7,18.13,823198.0,14854462.0,1.0
2008-06-03,18.22,18.22,17.55,17.63,565818.0,10074652.0,1.0
2008-06-04,17.71,17.9,17.28,17.48,428807.0,7485233.0,1.0
2008-06-05,17.35,17.82,17.31,17.6,474111.0,8344196.0,1.0
2008-06-06,17.6,18.32,17.6,17.82,710370.0,12807042.0,1.0
2008-06-10,17.03,17.25,16.04,16.04,943857.0,15514492.0,1.0
2008-06-11,15.8,16.06,15.21,15.35,726351.0,11323517.0,1.0
2008-06-12,15.25,15.99,15.2,15.58,940284.0,14630525.0,1.0
2008-06-13,15.78,15.78,14.9,14.95,509236.0,7805880.0,1.0
2008-06-16,14.8,15.26,14.6,14.85,577450.0,8596545.0,1.0
2008-06-17,14.85,15.43,14.7,14.89,740452.0,11169162.0,1.0
2008-06-18,14.81,15.76,14.7,15.53,1028790.0,15762198.0,1.0
2008-06-19,15.37,15.43,13.98,13.98,1155175.0,16907953.0,1.0
2008-06-20,13.98,14.65,13.21,14.09,733008.0,10332322.0,1.0
2008-06-23,13.8,13.99,13.2,13.41,483942.0,6579811.0,1.0
2008-06-24,13.35,14.16,13.33,13.89,701827.0,9673326.0,1.0
2008-06-25,13.95,14.64,13.79,14.45,1011160.0,14538070.0,1.0
2008-06-26,14.5,14.68,14.23,14.45,982934.0,14192240.0,1.0
2008-06-27,14.0,14.02,13.21,13.21,782267.0,10701976.0,1.0
2008-06-30,13.13,13.78,13.0,13.58,422078.0,5649172.0,1.0
2008-07-01,13.59,14.0,13.43,13.59,372324.0,5109653.0,1.0
2008-07-02,13.68,14.2,13.4,14.12,793956.0,11022010.0,1.0
2008-07-03,13.9,14.93,13.75,14.6,1497058.0,21700599.0,1.0
2008-07-04,14.46,14.67,14.08,14.2,871655.0,12432067.0,1.0
2008-07-07,14.22,15.1,14.15,14.89,1052374.0,15441990.0,1.0
2008-07-08,14.88,14.99,14.52,14.85,875752.0,12911458.0,1.0
2008-07-09,15.0,15.2,14.77,15.11,1005885.0,15084735.0,1.0
2008-07-10,14.95,15.36,14.81,15.03,1100957.0,16584494.0,1.0
2008-07-11,15.03,15.08,14.5,14.78,795439.0,11757803.0,1.0
2008-07-14,14.6,15.1,14.5,15.06,503365.0,7523715.0,1.0
2008-07-15,15.19,15.49,14.7,14.97,835709.0,12598564.0,1.0
2008-07-16,14.98,15.49,14.62,14.88,1739834.0,26387300.0,1.0
2008-07-17,14.95,15.87,14.83,15.38,1798345.0,27662694.0,1.0
2008-07-18,15.58,15.75,14.25,14.91,1592208.0,23796555.0,1.0
2008-07-21,14.89,15.36,14.55,15.29,1090560.0,16399423.0,1.0
2008-07-22,15.27,15.3,14.88,15.05,1124178.0,16954091.0,1.0
2008-07-23,15.01,15.69,15.01,15.45,1775043.0,27482908.0,1.0
2008-07-24,15.58,15.67,15.25,15.6,1379320.0,21414082.0,1.0
2008-07-25,15.26,15.89,15.26,15.56,825674.0,12865307.0,1.0
2008-07-28,15.7,16.4,15.55,16.2,1376775.0,22000953.0,1.0
2008-07-29,16.02,16.09,15.61,15.67,967087.0,15263739.0,1.0
2008-07-30,15.85,15.98,15.33,15.4,830185.0,12941885.0,1.0
2008-07-31,15.55,15.85,15.38,15.53,999564.0,15616076.0,1.0
2008-08-01,15.0,15.8,14.9,15.46,683810.0,10446928.0,1.0
2008-08-04,15.2,15.39,14.52,14.68,556629.0,8315524.0,1.0
2008-08-05,14.63,14.85,14.13,14.26,590434.0,8483616.0,1.0
2008-08-06,14.26,14.38,13.87,14.0,404738.0,5703379.0,1.0
2008-08-07,14.05,14.3,14.0,14.2,320504.0,4539479.0,1.0
2008-08-08,13.9,13.92,12.8,12.81,2268262.0,30813859.0,1.0
2008-08-11,12.9,12.93,11.68,11.87,1028303.0,12453188.0,1.0
2008-08-12,11.69,12.05,11.51,11.75,729847.0,8626992.0,1.0
2008-08-13,11.62,11.8,11.13,11.55,511163.0,5826699.0,1.0
2008-08-14,11.51,11.7,11.38,11.57,272721.0,3153672.0,1.0
2008-08-15,11.52,11.81,11.23,11.74,732636.0,8524815.0,1.0
2008-08-18,11.79,11.79,10.73,10.84,813149.0,9083413.0,1.0
2008-08-19,10.45,10.95,10.45,10.8,559635.0,6009051.0,1.0
2008-08-20,10.7,11.68,10.4,11.62,1225793.0,13829012.0,1.0
2008-08-21,11.32,11.56,11.0,11.02,863081.0,9705144.0,1.0
2008-08-22,11.02,11.11,10.42,10.61,532411.0,5688181.0,1.0
2008-08-25,10.62,10.9,10.4,10.68,341957.0,3651913.0,1.0
2008-08-26,10.65,10.65,9.99,10.13,774632.0,7962264.0,1.0
2008-08-27,10.03,10.26,9.89,9.97,441083.0,4425350.0,1.0
2008-08-28,10.01,10.18,9.96,10.0,288829.0,2908313.0,1.0
2008-08-29,10.09,10.5,10.0,10.35,625824.0,6439244.0,1.0
2008-09-01,10.25,10.66,10.15,10.27,570511.0,5928387.0,1.0
2008-09-02,10.15,10.4,10.1,10.34,318275.0,3268406.0,1.0
2008-09-03,10.34,10.64,10.13,10.3,225878.0,2324386.0,1.0
2008-09-04,10.32,10.48,10.22,10.39,188978.0,1950981.0,1.0
2008-09-05,10.16,10.19,9.72,9.72,528664.0,5273694.0,1.0
2008-09-08,9.78,9.8,9.03,9.12,770401.0,7216214.0,1.0
2008-09-09,9.12,9.3,9.05,9.14,224926.0,2057087.0,1.0
2008-09-10,9.05,9.29,9.0,9.17,359384.0,3301913.0,1.0
2008-09-11,9.08,9.18,8.86,8.88,284880.0,2559282.0,1.0
2008-09-12,8.93,9.03,8.8,8.9,281516.0,2512858.0,1.0
2008-09-16,8.88,8.91,8.53,8.65,420924.0,3670248.0,1.0
2008-09-17,8.65,8.85,8.55,8.81,547093.0,4744379.0,1.0
2008-09-18,8.64,9.17,8.05,9.17,1193058.0,10313696.0,1.0
2008-09-19,9.9,10.09,9.85,10.09,2064788.0,20693774.0,1.0
2008-09-22,10.25,11.04,9.97,10.2,2391198.0,25011765.0,1.0
2008-09-23,9.9,9.9,9.18,9.18,1324224.0,12468088.0,1.0
2008-09-24,8.91,9.15,8.67,9.12,680699.0,6050834.0,1.0
2008-09-25,9.09,9.36,9.02,9.25,948309.0,8768018.0,1.0
2008-09-26,9.48,9.48,8.94,9.14,629583.0,5776328.0,1.0
2008-10-06,8.93,8.93,8.52,8.59,496421.0,4313143.0,1.0
2008-10-07,8.4,8.63,8.3,8.51,267854.0,2267629.0,1.0
2008-10-09,8.51,8.52,8.31,8.32,424168.0,3558766.0,1.0
2008-10-10,8.0,8.1,7.61,7.66,488436.0,3835221.0,1.0
2008-10-13,7.55,7.79,7.33,7.77,403784.0,3050145.0,1.0
2008-10-14,7.99,8.13,7.79,7.96,827646.0,6588555.0,1.0
2008-10-15,7.8,8.22,7.6,8.2,735567.0,5871930.0,1.0
2008-10-16,7.9,9.0,7.71,8.43,2606556.0,22133927.0,1.0
2008-10-17,8.47,8.51,8.18,8.2,1084519.0,9038237.0,1.0
2008-10-20,8.07,8.25,7.89,8.14,794182.0,6398355.0,1.0
2008-10-21,8.19,8.38,8.14,8.14,722468.0,5964849.0,1.0
2008-10-22,8.01,8.06,7.73,7.73,746565.0,5906036.0,1.0
2008-10-23,7.61,7.87,7.4,7.85,586114.0,4482074.0,1.0
2008-10-24,7.84,7.99,7.56,7.66,300098.0,2327959.0,1.0
2008-10-27,7.51,7.54,6.9,6.9,666410.0,4798560.0,1.0
2008-10-28,6.8,7.18,6.8,7.13,473559.0,3334566.0,1.0
2008-10-29,7.23,7.24,6.75,6.81,609775.0,4285230.0,1.0
2008-10-30,6.82,7.04,6.73,6.87,495686.0,3403895.0,1.0
2008-10-31,6.88,6.95,6.78,6.8,360111.0,2469822.0,1.0
2008-11-03,6.77,6.92,6.63,6.81,278258.0,1894885.0,1.0
2008-11-04,6.81,6.84,6.65,6.71,264562.0,1779131.0,1.0
2008-11-05,6.76,7.05,6.76,6.98,507203.0,3521801.0,1.0
2008-11-06,6.86,6.98,6.78,6.94,353921.0,2422326.0,1.0
2008-11-07,6.8,7.18,6.8,7.07,431170.0,3041518.0,1.0
2008-11-10,7.12,7.57,7.12,7.54,839613.0,6204405.0,1.0
2008-11-11,7.5,7.59,7.33,7.38,720758.0,5359259.0,1.0
2008-11-12,7.24,7.65,7.24,7.6,911046.0,6836030.0,1.0
2008-11-13,7.48,8.1,7.46,7.88,1625502.0,12707943.0,1.0
2008-11-14,7.85,8.32,7.85,8.32,1685191.0,13634441.0,1.0
2008-11-17,8.22,8.9,8.2,8.81,2544439.0,22005380.0,1.0
2008-11-18,8.75,9.0,7.97,8.0,1279155.0,10828068.0,1.0
2008-11-19,8.0,8.6,7.92,8.56,803807.0,6707809.0,1.0
2008-11-20,8.45,8.8,8.4,8.6,1128953.0,9724528.0,1.0
2008-11-21,8.45,8.6,8.01,8.29,943950.0,7812398.0,1.0
2008-11-24,8.27,8.36,7.95,8.0,646830.0,5268480.0,1.0
2008-11-25,8.08,8.2,7.91,8.1,505439.0,4071773.0,1.0
2008-11-26,7.98,8.26,7.98,8.15,327123.0,2665201.0,1.0
2008-11-27,8.67,8.79,8.17,8.2,1042536.0,8849501.0,1.0
2008-12-01,8.13,8.8,7.98,8.77,1124095.0,9561669.0,1.0
2008-12-02,8.59,9.2,8.5,8.88,1686335.0,14982497.0,1.0
2008-12-03,8.89,9.4,8.89,9.25,1395711.0,12799985.0,1.0
2008-12-04,9.3,9.46,8.96,8.99,1622691.0,15012055.0,1.0
2008-12-05,9.01,9.68,9.0,9.53,1463430.0,13758911.0,1.0
2008-12-08,9.8,9.9,9.55,9.83,1615898.0,15746565.0,1.0
2008-12-09,9.8,9.8,9.37,9.37,1271824.0,12132181.0,1.0
2008-12-10,9.37,9.89,9.2,9.88,1087346.0,10485298.0,1.0
2008-12-11,10.04,10.17,9.62,9.62,1703203.0,16944924.0,1.0
2008-12-12,9.79,9.79,8.88,9.03,1048082.0,9701840.0,1.0
2008-12-15,9.13,9.36,8.98,9.22,585691.0,5363820.0,1.0
2008-12-16,9.2,9.39,8.8,9.38,735690.0,6676410.0,1.0
2008-12-17,9.38,9.75,9.3,9.51,1151911.0,11013728.0,1.0
2008-12-18,9.46,9.73,9.37,9.73,721654.0,6914952.0,1.0
2008-12-19,9.79,10.26,9.68,10.18,2125619.0,21331466.0,1.0
2008-12-22,10.2,10.89,10.16,10.65,2460271.0,25898374.0,1.0
2008-12-23,10.65,10.68,9.73,9.78,1819637.0,18589864.0,1.0
2008-12-24,9.6,9.66,9.28,9.43,1030850.0,9786053.0,1.0
2008-12-25,9.4,10.27,9.38,10.15,1696163.0,16504186.0,1.0
2008-12-26,10.05,10.45,9.9,10.14,1921357.0,19588728.0,1.0
2008-12-29,10.0,10.08,9.61,9.84,830708.0,8136111.0,1.0
2008-12-30,9.85,10.45,9.81,10.3,1652360.0,16846080.0,1.0
2008-12-31,10.27,11.1,10.27,10.47,2561527.0,27330658.0,1.0
2009-01-05,10.7,10.99,10.53,10.9,1933066.0,20843944.0,1.0
2009-01-06,10.89,11.02,10.61,10.98,1819944.0,19678154.0,1.0
2009-01-07,10.89,11.29,10.75,10.95,2023467.0,22379630.0,1.0
2009-01-08,10.98,12.03,10.77,11.87,4423207.0,51116856.0,1.0
2009-01-09,11.8,12.7,11.61,12.05,3218729.0,38828748.0,1.0
2009-01-12,12.12,12.56,11.93,12.0,2375262.0,29076276.0,1.0
2009-01-13,11.88,11.95,11.2,11.28,1420034.0,16457981.0,1.0
2009-01-14,11.13,11.89,11.13,11.83,1329461.0,15545754.0,1.0
2009-01-15,11.7,11.96,11.58,11.7,1355842.0,15950235.0,1.0
2009-01-16,11.78,11.99,11.61,11.77,896488.0,10542148.0,1.0
2009-01-19,11.8,11.95,11.22,11.48,1070473.0,12280448.0,1.0
2009-01-20,11.48,11.8,11.32,11.71,588992.0,6826555.0,1.0
2009-01-21,11.55,11.92,11.52,11.61,685745.0,8037774.0,1.0
2009-01-22,11.62,11.83,11.6,11.8,565165.0,6633644.0,1.0
2009-01-23,11.76,12.03,11.76,11.84,986886.0,11770072.0,1.0
2009-02-02,11.9,12.1,11.75,12.05,774326.0,9286419.0,1.0
2009-02-03,12.01,12.14,11.98,12.13,1080259.0,13036936.0,1.0
2009-02-04,12.17,12.19,12.0,12.16,1229649.0,14846057.0,1.0
2009-02-05,12.13,12.64,11.92,11.98,1384245.0,17107830.0,1.0
2009-02-06,12.0,12.49,11.99,12.38,1205365.0,14761662.0,1.0
2009-02-09,12.45,13.32,12.25,13.29,2169486.0,27608828.0,1.0
